"Service Request #","Date Request Opened","Request Status","SLA","Service Group","Agency Responsible","Request Name","Street Address","Latitude","Longitude","Location","TNI Area Description"
"21-00026749","2021 Apr 17 12:28:34 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","6109 AUTH RD","38.81641754","-76.90124078","    (38.81641754, -76.90124078)","County Address"
"21-00026735","2021 Apr 17 08:38:37 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","996 SWAN CREEK RD",,,,"County Address"
"21-00026689","2021 Apr 16 04:40:40 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","BALTIMORE AVE & RIVERDALE RD",,,,"County Address"
"21-00026684","2021 Apr 16 04:29:23 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","WHITE HOUSE RD & BROWN STATION RD",,,,"County Address"
"21-00026681","2021 Apr 16 04:21:36 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5413 55TH PL",,,,"County Address"
"21-00026673","2021 Apr 16 04:11:36 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","LAKEHURST AVE & MARLBORO PIKE",,,,"County Address"
"21-00026671","2021 Apr 16 04:05:55 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","GLEN ROCK AVE & CORNING AVE",,,,"County Address"
"21-00026650","2021 Apr 16 03:36:44 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","6506 LIVINGSTON RD","38.79970121","-76.98550202","    (38.79970121, -76.98550202)","County Address"
"21-00026598","2021 Apr 16 01:43:40 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","13014 CLOVERLY DR","38.89031522","-76.77941359","    (38.89031522, -76.77941359)","County Address"
"21-00026578","2021 Apr 16 01:13:48 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","18101 RICHARD ALLEN ST","38.57299518","-76.69189567","    (38.57299518, -76.69189567)","County Address"
"21-00026546","2021 Apr 16 12:34:13 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","SPRINGFIELD RD & POWDER MILL RD",,,,"County Address"
"21-00026540","2021 Apr 16 12:24:33 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","3791 MEADOWVIEW DR","38.83793432","-76.91531612","    (38.83793432, -76.91531612)","Silver Hill"
"21-00026539","2021 Apr 16 12:23:55 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","MEADOWVIEW DR & SWANN RD",,,,"County Address"
"21-00026538","2021 Apr 16 12:22:34 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","WALNUT LN & DIANNA RD",,,,"County Address"
"21-00026528","2021 Apr 16 12:09:48 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5606 VALLEY LN",,,,"County Address"
"21-00026425","2021 Apr 16 09:09:55 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","6110 MONTROSE RD","38.93355856","-76.91320237","    (38.93355856, -76.91320237)","County Address"
"21-00026409","2021 Apr 16 08:37:54 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","TALLINN CT & VARUS PL",,,,"County Address"
"21-00026369","2021 Apr 15 10:11:44 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","3809 ENTERPRISE RD","38.94244324","-76.79806243","    (38.94244324, -76.79806243)","County Address"
"21-00026367","2021 Apr 15 09:53:43 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","13105 RINGNECK CT","38.87531191","-76.77866959","    (38.87531191, -76.77866959)","County Address"
"21-00026319","2021 Apr 15 04:54:27 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","6211 LIVINGSTON RD","38.80380891","-76.99055434","    (38.80380891, -76.99055434)","County Address"
"21-00026297","2021 Apr 15 04:15:21 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","59TH AVE & GALLATIN ST",,,,"County Address"
"21-00026136","2021 Apr 15 11:58:30 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","11410 PITSEA DR","39.03987661","-76.8963728","    (39.03987661, -76.8963728)","County Address"
"21-00026135","2021 Apr 15 11:58:28 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","MILFAN DR & ROLLING RIDGE DR",,,,"County Address"
"21-00026078","2021 Apr 15 10:27:49 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5000 FORBES BLVD","38.95875801","-76.83649634","    (38.95875801, -76.83649634)","County Address"
"21-00026003","2021 Apr 15 08:27:07 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","1519 SHAMROCK AVE","38.86789892","-76.91920285","    (38.86789892, -76.91920285)","Suitland / Coral Hills"
"21-00025929","2021 Apr 14 04:07:45 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","6403 WALKER MILL RD",,,,"County Address"
"21-00025894","2021 Apr 14 02:50:12 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","CUTLOG ST & BIRCHLEAF AVE",,,,"County Address"
"21-00025872","2021 Apr 14 02:07:12 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","1999 CAP BELT OL A HWY",,,,"County Address"
"21-00025863","2021 Apr 14 01:44:04 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","OXFORD DR & HARTFORD HILLS DR",,,,"County Address"
"21-00025855","2021 Apr 14 01:35:59 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","2802 HATBORO PL",,,,"County Address"
"21-00025839","2021 Apr 14 01:06:28 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","MANCHESTER DR & OLD BRANCH AVE",,,,"County Address"
"21-00025836","2021 Apr 14 12:52:10 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","100 HILL RD",,,,"County Address"
"21-00025835","2021 Apr 14 12:50:57 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","5816 COLUMBIA PARK RD",,,,"County Address"
"21-00025815","2021 Apr 14 12:10:19 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","CONTEE RD & CLAXTON DR",,,,"County Address"
"21-00025785","2021 Apr 14 11:14:24 AM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","6611 ROSEMONT ST",,,,"County Address"
"21-00025780","2021 Apr 14 11:09:00 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","21956 Pennsylvania Ave",,,,"County Address"
"21-00025695","2021 Apr 14 08:54:07 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","3710 KINGSWOOD DR",,,,"County Address"
"21-00025653","2021 Apr 13 10:17:04 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","2810 XAVIER LN",,,,"County Address"
"21-00025651","2021 Apr 13 09:46:59 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","2910 EAST AVE",,,,"County Address"
"21-00025591","2021 Apr 13 04:38:08 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","5100 DEAL DR",,,,"County Address"
"21-00025572","2021 Apr 13 03:55:52 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","10002 MADRONAWOOD DR",,,,"County Address"
"21-00025568","2021 Apr 13 03:50:16 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","1419 ALBERT DR",,,,"County Address"
"21-00025562","2021 Apr 13 03:45:55 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","1419 ALBERTA DR",,,,"County Address"
"21-00025543","2021 Apr 13 03:12:35 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","GIBBONS DR & LUMAR DR",,,,"County Address"
"21-00025459","2021 Apr 13 01:11:26 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","1015 KINGS VALLEY DR",,,,"County Address"
"21-00025457","2021 Apr 13 01:04:39 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","16500 NEWASA LN",,,,"County Address"
"21-00025390","2021 Apr 13 11:42:02 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5506 CHURCH RD",,,,"County Address"
"21-00025358","2021 Apr 13 11:06:46 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","4743 CLIFTON RD",,,,"County Address"
"21-00025357","2021 Apr 13 11:06:35 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","7626 SURRATTS RD",,,,"County Address"
"21-00025302","2021 Apr 13 10:11:27 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","ARCTIC FOX DR & BLACK FOX CT",,,,"County Address"
"21-00025298","2021 Apr 13 09:58:07 AM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","MERRIMAC DR & NEW HAMPSHIRE AVE",,,,"County Address"
"21-00025286","2021 Apr 13 09:42:37 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","LOTTSFORD RD & MCCORMICK DR",,,,"County Address"
"21-00025169","2021 Apr 12 06:25:11 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","2023 SPAULDING AVE","38.86250255","-76.92439928","    (38.86250255, -76.92439928)","Suitland / Coral Hills"
"21-00025130","2021 Apr 12 04:09:11 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","4709 RALEIGH RD",,,,"County Address"
"21-00025123","2021 Apr 12 03:43:08 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","ANNAPOLIS RD & ELLERBIE ST",,,,"County Address"
"21-00025091","2021 Apr 12 03:13:26 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","1ST ST & AUBURN AVE",,,,"County Address"
"21-00025053","2021 Apr 12 02:10:51 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","BRIGHTSEAT RD & SHERIFF RD",,,,"County Address"
"21-00024987","2021 Apr 12 12:24:29 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","2234 LOTTSFORD VISTA RD",,,,"County Address"
"21-00024985","2021 Apr 12 12:21:56 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","NALLEY RD & HILL OAKS RD",,,,"County Address"
"21-00024908","2021 Apr 12 10:21:35 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","COMET DR & ALLENTOWN RD",,,,"County Address"
"21-00024860","2021 Apr 12 09:19:41 AM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","ODELL RD & EDMONSTON RD",,,,"County Address"
"21-00024858","2021 Apr 12 09:17:56 AM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","E MAPLE AVE & ODELL RD",,,,"County Address"
"21-00024857","2021 Apr 12 09:17:08 AM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","E MAPLE AVE & LINDEN RD",,,,"County Address"
"21-00024856","2021 Apr 12 09:16:20 AM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","E MAPLE AVE & SYCAMORE RD",,,,"County Address"
"21-00024855","2021 Apr 12 09:15:33 AM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","E MAPLE AVE & CYPRESS RD",,,,"County Address"
"21-00024853","2021 Apr 12 09:14:31 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","11518 MAPLE AVE",,,,"County Address"
"21-00024815","2021 Apr 12 08:13:13 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","13307 OLD FORT RD","38.70793171","-77.01264648","    (38.70793171, -77.01264648)","County Address"
"21-00024814","2021 Apr 12 08:12:15 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","SWANN RD & MEADOWVIEW DR",,,,"County Address"
"21-00024787","2021 Apr 12 06:42:21 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","10610 LIVINGSTON RD","38.74559229","-76.99927945","    (38.74559229, -76.99927945)","County Address"
"21-00024762","2021 Apr 11 06:13:10 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5308 KENMONT RD","38.81694427","-76.99563446","    (38.81694427, -76.99563446)","Oxon Hill / Glassmanor"
"21-00024750","2021 Apr 11 02:55:00 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","RIVERDALE RD & AUBURN AVE",,,,"County Address"
"21-00024746","2021 Apr 11 02:14:09 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","4504 DANVILLE RD","38.68757529","-76.92868993","    (38.68757529, -76.92868993)","County Address"
"21-00024699","2021 Apr 10 07:14:43 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","RIVERDALE RD & FERNWOOD TER",,,,"County Address"
"21-00024684","2021 Apr 10 04:17:21 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","4408 DANVILLE RD","38.69045847","-76.92836425","    (38.69045847, -76.92836425)","County Address"
"21-00024664","2021 Apr 10 08:24:25 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","11603 MAPLE AVE",,,,"County Address"
"21-00024634","2021 Apr 09 05:18:53 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","8101 ALLENTOWN RD","38.77954193","-76.9491838","    (38.77954193, -76.9491838)","County Address"
"21-00024633","2021 Apr 09 05:18:51 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","8008 COMET DR","38.77996719","-76.94892843","    (38.77996719, -76.94892843)","County Address"
"21-00024623","2021 Apr 09 04:31:33 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","4807 WHITFIELD CHAPEL RD","38.94326615","-76.85357105","    (38.94326615, -76.85357105)","County Address"
"21-00024612","2021 Apr 09 03:41:00 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","13103 RHAME DR","38.70991831","-77.01038038","    (38.70991831, -77.01038038)","County Address"
"21-00024598","2021 Apr 09 03:21:06 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","CONTEE RD & CLAXTON DR",,,,"County Address"
"21-00024585","2021 Apr 09 02:57:12 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","6214 TEABERRY WAY","38.73828259","-76.89994771","    (38.73828259, -76.89994771)","County Address"
"21-00024556","2021 Apr 09 02:26:59 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","WOODVIEW TER & BROOKLYN BRIDGE RD",,,,"County Address"
"21-00024549","2021 Apr 09 02:22:22 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","RIGGS RD & FAIROAK AVE",,,,"County Address"
"21-00024526","2021 Apr 09 01:46:13 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","1802 BRIGHTSEAT RD","38.91479106","-76.85441371","    (38.91479106, -76.85441371)","County Address"
"21-00024523","2021 Apr 09 01:41:11 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","6801 RIVERDALE RD","38.96368941","-76.89896754","    (38.96368941, -76.89896754)","County Address"
"21-00024482","2021 Apr 09 12:44:04 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","RIDING STABLE RD & BROOKLYN BRIDGE RD",,,,"County Address"
"21-00024415","2021 Apr 09 11:06:11 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","JADELEAF AVE & SEAT PLEASANT DR",,,,"County Address"
"21-00024406","2021 Apr 09 10:56:39 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","AEROSPACE RD & GREENBELT RD",,,,"County Address"
"21-00024363","2021 Apr 09 10:14:36 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","POWDER MILL RD & SPRINGFIELD RD",,,,"County Address"
"21-00024310","2021 Apr 09 07:47:32 AM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","6800 RIVERDALE RD","38.96390197","-76.90009668","    (38.96390197, -76.90009668)","Bladensburg / East Riverdale"
"21-00024297","2021 Apr 08 08:56:26 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","4305 54TH ST","38.94240931","-76.92671087","    (38.94240931, -76.92671087)","Bladensburg / East Riverdale"
"21-00024294","2021 Apr 08 08:04:00 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","SHORT CUT RD & BRANDYWINE RD",,,,"County Address"
"21-00024254","2021 Apr 08 04:21:00 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","1802 BRIGHTSEAT RD","38.91479106","-76.85441371","    (38.91479106, -76.85441371)","County Address"
"21-00024252","2021 Apr 08 04:18:21 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","WOODYARD RD & RICHARDSON RD",,,,"County Address"
"21-00024250","2021 Apr 08 04:12:08 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","13500 WATER FOWL WAY","38.87246214","-76.77161517","    (38.87246214, -76.77161517)","County Address"
"21-00024079","2021 Apr 08 10:10:42 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","ALLENTOWN RD & MAXWELL DR",,,,"County Address"
"21-00024073","2021 Apr 08 10:00:50 AM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","4213 75TH AVE","38.94456328","-76.88399005","    (38.94456328, -76.88399005)","County Address"
"21-00024064","2021 Apr 08 09:47:23 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","18204 QUEEN ANNE BRIDGE RD","38.91147325","-76.68900187","    (38.91147325, -76.68900187)","County Address"
"21-00024023","2021 Apr 08 08:16:29 AM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","GALLAHAN RD & PISCATAWAY RD",,,,"County Address"
"21-00023983","2021 Apr 07 09:55:39 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","SWEETGUM WAY & HEMLOCK WAY",,,,"County Address"
"21-00023935","2021 Apr 07 04:51:03 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","CAMPUS WAY N & CENTRAL AVE",,,,"County Address"
"21-00023862","2021 Apr 07 02:42:44 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","9110 OLD BURTON CIR","38.76489996","-76.77804571","    (38.76489996, -76.77804571)","County Address"
"21-00023853","2021 Apr 07 02:29:03 PM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","WALNUT LN & DIANNA RD",,,,"County Address"
"21-00023848","2021 Apr 07 02:25:59 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","COLLIER RD & CHERRY HILL RD",,,,"County Address"
"21-00023777","2021 Apr 07 12:29:37 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","4700 RALEIGH RD",,,,"County Address"
"21-00023755","2021 Apr 07 11:52:32 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","17301 QUEEN ANNE BRIDGE RD","38.91270706","-76.70504441","    (38.91270706, -76.70504441)","County Address"
"21-00023753","2021 Apr 07 11:50:32 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","QUEEN ANNE BRIDGE RD & ROBERT CRAIN HWY NE",,,,"County Address"
"21-00023734","2021 Apr 07 11:25:13 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","OLD FORT RD & INDIAN HEAD HWY",,,,"County Address"
"21-00023733","2021 Apr 07 11:24:57 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","CAMPUS WAY N & LOTTSFORD RD",,,,"County Address"
"21-00023719","2021 Apr 07 11:12:52 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","PARK AVE & HORSEHEAD RD",,,,"County Address"
"21-00023715","2021 Apr 07 11:09:21 AM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","10610 LIVINGSTON RD","38.74559229","-76.99927945","    (38.74559229, -76.99927945)","County Address"
"21-00023703","2021 Apr 07 10:50:20 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","7925 PARSTON DR","38.84564575","-76.8695987","    (38.84564575, -76.8695987)","Forestville"
"21-00023633","2021 Apr 07 09:17:56 AM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","GREENWOOD RD & CEDAR LN",,,,"County Address"
"21-00023609","2021 Apr 07 08:43:24 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5015 54TH PL","38.94879053","-76.92277703","    (38.94879053, -76.92277703)","Bladensburg / East Riverdale"
"21-00023578","2021 Apr 07 06:41:31 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","8108 JORDAN PARK BLVD","38.85042456","-76.86612139","    (38.85042456, -76.86612139)","Forestville"
"21-00023576","2021 Apr 07 12:14:07 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","12709 CONWOOD CT","38.83207979","-76.78508611","    (38.83207979, -76.78508611)","County Address"
"21-00023567","2021 Apr 06 06:44:24 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","16500 NEWASA LN","38.66301022","-76.99780437","    (38.66301022, -76.99780437)","County Address"
"21-00023537","2021 Apr 06 05:00:19 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","BRIGHTSEAT RD & JERICHO CITY DR",,,,"County Address"
"21-00023534","2021 Apr 06 04:48:23 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","ALLENTOWN RD & VERNON DR",,,,"County Address"
"21-00023511","2021 Apr 06 04:06:33 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","SUNNYSIDE LN & LIVINGSTON RD",,,,"County Address"
"21-00023508","2021 Apr 06 04:01:01 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","ALLENTOWN RD & LUMAR DR",,,,"County Address"
"21-00023472","2021 Apr 06 03:14:36 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","GENOA AVE & BLOUNT DR",,,,"County Address"
"21-00023446","2021 Apr 06 02:46:15 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","10001 MIZAR DR","38.78667935","-76.83417484","    (38.78667935, -76.83417484)","County Address"
"21-00023399","2021 Apr 06 01:52:03 PM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","9800 CHERRY HILL RD","39.02716987","-76.94615885","    (39.02716987, -76.94615885)","County Address"
"21-00023379","2021 Apr 06 01:26:26 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","5902 GLEN ROCK AVE",,,,"County Address"
"21-00023360","2021 Apr 06 01:10:15 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","MCKENDREE RD & ACCOKEEK RD",,,,"County Address"
"21-00023337","2021 Apr 06 12:39:18 PM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","6005 OXON HILL RD","38.80627654","-76.97578943","    (38.80627654, -76.97578943)","County Address"
"21-00023276","2021 Apr 06 11:19:36 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","DEMING DR & STONECLIFF RD",,,,"County Address"
"21-00023275","2021 Apr 06 11:18:08 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","WALNUT LN & DEMING DR",,,,"County Address"
"21-00023274","2021 Apr 06 11:16:27 AM","OPEN","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","SWANN RD & WALNUT LN",,,,"County Address"
"21-00023271","2021 Apr 06 11:13:28 AM","OPEN","OVERDUE","Construction Division","Department of Public Works & Transportation","Pothole Repair","MEADOWVIEW DR & SUITLAND RD",,,,"County Address"
"21-00023132","2021 Apr 06 08:24:03 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","EDITORS PARK DR & EAST WEST HWY",,,,"County Address"
"21-00023129","2021 Apr 06 08:19:52 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","1105 KINGS TREE DR","38.9053455","-76.79553225","    (38.9053455, -76.79553225)","County Address"
"21-00023102","2021 Apr 06 07:55:47 AM","OPEN","OPEN","Construction Division","Department of Public Works & Transportation","Pothole Repair","FORT WASHINGTON RD & ASBURY DR",,,,"County Address"
"21-00023098","2021 Apr 06 07:47:48 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","3102 XAVIER LN","38.84719488","-76.89033854","    (38.84719488, -76.89033854)","County Address"
"21-00023078","2021 Apr 06 02:15:11 AM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","33 SULTAN AVE","38.88688307","-76.9111416","    (38.88688307, -76.9111416)","County Address"
"21-00023060","2021 Apr 05 07:01:31 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","12800 OLD FORT RD","38.71210334","-76.98824945","    (38.71210334, -76.98824945)","County Address"
"21-00023053","2021 Apr 05 06:32:42 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","BURCH HILL RD & BRANDYWINE RD",,,,"County Address"
"21-00023033","2021 Apr 05 05:25:39 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","DEER POND LN & MANCHESTER DR",,,,"County Address"
"21-00023028","2021 Apr 05 05:00:17 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","7317 MARLBORO PIKE","38.84805273","-76.87993502","    (38.84805273, -76.87993502)","County Address"
"21-00023025","2021 Apr 05 04:57:43 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","7404 MARION ST","38.85061019","-76.8774946","    (38.85061019, -76.8774946)","Forestville"
"21-00023023","2021 Apr 05 04:55:57 PM","CLOSED","CLOSED","Construction Division","Department of Public Works & Transportation","Pothole Repair","7700 SURRATTS RD",,,,"County Address"
